,rank,name,author,price,book_type,stars,reviews,link
46,#47,Environment By Shankar (7th) Revised Edition (2019-2020 Session),Shankar,371.00,Paperback,4.3 out of 5 stars,"3,073",https://www.amazon.in/Environment-SHANKAR-6th-Revised-2018/dp/B07KF7H5JS?_encoding=UTF8&psc=1
47,#48,LUCENT'S GENERAL KNOWLEDGE WITH GENERAL KNOWLEDGE 2021 EDITION,LUCENT ARIHANT EXPERTS,159.89,Paperback,3.7 out of 5 stars,64,https://www.amazon.in/LUCENTS-GENERAL-KNOWLEDGE-2021/dp/B0851KPYQ7?_encoding=UTF8&psc=1
48,#49,IB-ACIO: Grade-II/Executive (Tier-I) Recruitment Exam Guide: Grade-II/Executive (Tier-I) Exam Guide,RPH Editorial Board,344.00,Paperback,3.8 out of 5 stars,59,https://www.amazon.in/IB-Intelligence-Officers-Grade-II-Executive/dp/9386845121?_encoding=UTF8&psc=1
49,#50,"NTA UGC NET/JRF/SET Paper 1 Question Bank (For 2021) 2004 to 2020 All PYQs, & Expected MCQs with Solutions",Navdeep Kaur,410.00,Paperback,5.0 out of 5 stars,2,https://www.amazon.in/Paper-Question-Bank-Expected-Solutions/dp/B08RDLYSQQ?_encoding=UTF8&psc=1
50,#51,Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,609.00,Paperback,4.7 out of 5 stars,253,https://www.amazon.in/Objective-NCERT-your-FINGERTIPS-NEET-AIIMS/dp/9389971241?_encoding=UTF8&psc=1
51,#52,The 12-Week Fitness Project,Rujuta Diwekar,119.00,Paperback,4.4 out of 5 stars,"1,032",https://www.amazon.in/12-Week-Fitness-Project-Rujuta-Diwekar/dp/9353450888?_encoding=UTF8&psc=1
52,#53,Who Will Cry When You Die?,Robin Sharma,149.00,Paperback,4.5 out of 5 stars,"6,235",https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1
53,#54,101 Panchatantra Stories,Dreamland Publications,130.00,Paperback,4.3 out of 5 stars,"2,419",https://www.amazon.in/101-Panchatantra-Stories-Dreamland-Publications/dp/938797149X?_encoding=UTF8&psc=1
54,#55,The Power of your Subconscious Mind,Joseph Murphy,78.00,Paperback,4.5 out of 5 stars,"22,674",https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962?_encoding=UTF8&psc=1
55,#56,"Thinking, Fast and Slow (Penguin Press Non-Fiction)",Daniel Kahneman,359.00,Paperback,4.4 out of 5 stars,"14,081",https://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576?_encoding=UTF8&psc=1
56,#57,A Promised Land,Barack Obama,"1,410.00",Hardcover,4.9 out of 5 stars,"33,757",https://www.amazon.in/Promised-Land-Barack-Obama/dp/0241491517?_encoding=UTF8&psc=1
57,#58,The Monk Who Sold His Ferrari,Robin Sharma,174.00,Paperback,4.6 out of 5 stars,"9,528",https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X?_encoding=UTF8&psc=1
58,#59,Death; An Inside Story: A book for all those who shall die,Sadhguru,263.00,Paperback,4.7 out of 5 stars,"2,775",https://www.amazon.in/Death-Inside-Story-those-shall/dp/0143450832?_encoding=UTF8&psc=1
59,#60,Bhagvad gita as it is english new edition,His Divine Grace A.C. Bhaktivedanta,225.00,Hardcover,4.7 out of 5 stars,"3,026",https://www.amazon.in/Bhagvad-gita-as-english-new/dp/9384564192?_encoding=UTF8&psc=1
60,#61,7 Divine Laws to Awaken Your Best Self,Swami Mukundananda,239.00,Paperback,4.5 out of 5 stars,10,https://www.amazon.in/Divine-Laws-Awaken-Your-Best/dp/9390327083?_encoding=UTF8&psc=1
61,#62,Harry Potter and the Philosopher's Stone,J.K. Rowling,253.00,Paperback,4.7 out of 5 stars,"19,322",https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658?_encoding=UTF8&psc=1
62,#63,I Came Upon a Lighthouse: A Short Memoir of Life with Ratan Tata,Naidu Shantanu,399.00,Hardcover,Not Available,Not Available,https://www.amazon.in/Came-Upon-Lighthouse-Short-Memoir/dp/9390327520?_encoding=UTF8&psc=1
63,#64,A Man Called Ove: The life-affirming bestseller that will brighten your day,Fredrik Backman,278.00,Paperback,4.6 out of 5 stars,"21,045",https://www.amazon.in/Man-Called-Ove-life-affirming-bestseller/dp/1444775812?_encoding=UTF8&psc=1
64,#65,As a Man Thinketh,James Allen,67.00,Paperback,4.4 out of 5 stars,"8,052",https://www.amazon.in/As-Man-Thinketh-James-Allen/dp/9380816472?_encoding=UTF8&psc=1
65,#66,Picture Books Collection for Early Learning (Set of 12),E C Axus,250.00,Cards,4.2 out of 5 stars,"3,388",https://www.amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P?_encoding=UTF8&psc=1
66,#67,Rich Dad Poor Dad - 20th Anniversary Edition (Hindi),Robert T. Kiyosaki,178.00,Paperback,4.6 out of 5 stars,"3,339",https://www.amazon.in/Rich-Dad-Poor-Robert-Kiyosaki/dp/8186775218?_encoding=UTF8&psc=1
67,#68,"Lexicon for Ethics, Integrity & Aptitude for IAS General Studies - 6th Paper Edition 2020",Niraj Kumar,210.00,Paperback,4.5 out of 5 stars,607,https://www.amazon.in/Lexicon-Integrity-Aptitude-General-Studies/dp/8194204828?_encoding=UTF8&psc=1
68,#69,Target High - 5th Premium Colored International Edition,Muthuvenkatachalam S,983.00,Paperback,4.6 out of 5 stars,509,https://www.amazon.in/Target-High-Premium-Colored-International/dp/9389261988?_encoding=UTF8&psc=1
